PA_30,AB_30,R_30,H_30,RBI_30,BB_30,SO_30,BA_30,OBP_30,SLG_30,OPS_30,Date,Team,PA_all,AB_all,R_all,H_all,RBI_all,BB_all,SO_all,BA_all,OBP_all,SLG_all,OPS_all
37.6,32.766666666666666,3.7666666666666666,7.433333333333334,3.566666666666667,4.2,9.066666666666666,0.2267,0.31313333333333326,0.3907333333333333,0.7038999999999999,2023-05-19,SDP,37.52272727272727,32.63636363636363,3.909090909090909,7.386363636363637,3.6818181818181817,4.159090909090909,8.931818181818182,0.22672727272727278,0.30911363636363637,0.3924772727272727,0.7015681818181817
37.5,32.63333333333333,3.7333333333333334,7.3,3.533333333333333,4.233333333333333,9.066666666666666,0.2266,0.31316666666666665,0.3897333333333333,0.7029666666666666,2023-05-20,SDP,37.422222222222224,32.577777777777776,3.8444444444444446,7.333333333333333,3.6222222222222222,4.133333333333334,8.88888888888889,0.22668888888888894,0.30924444444444443,0.3921777777777778,0.7014222222222222
37.2,32.46666666666667,3.466666666666667,7.0,3.2666666666666666,4.133333333333334,9.166666666666666,0.22616666666666665,0.31283333333333335,0.3884,0.7013333333333335,2023-05-21,SDP,37.34782608695652,32.52173913043478,3.8043478260869565,7.239130434782608,3.5869565217391304,4.108695652173913,8.869565217391305,0.22660869565217398,0.3093260869565217,0.3918695652173913,0.7012173913043477
37.166666666666664,32.4,3.7,7.033333333333333,3.5,4.166666666666667,9.033333333333333,0.22586666666666666,0.3126999999999999,0.38756666666666656,0.7003666666666667,2023-05-23,SDP,37.276595744680854,32.48936170212766,3.872340425531915,7.212765957446808,3.6595744680851063,4.085106382978723,8.829787234042554,0.2265106382978724,0.3093829787234042,0.39159574468085107,0.701
37.53333333333333,32.5,3.933333333333333,7.233333333333333,3.7333333333333334,4.4,9.066666666666666,0.22576666666666664,0.3128666666666666,0.3872999999999999,0.7002666666666665,2023-05-24,SDP,37.416666666666664,32.541666666666664,3.9375,7.3125,3.7291666666666665,4.166666666666667,8.854166666666666,0.22647916666666668,0.3095208333333333,0.39147916666666666,0.7010208333333333
37.5,32.53333333333333,4.0,7.233333333333333,3.8,4.4,8.933333333333334,0.2257333333333333,0.31303333333333333,0.3873333333333333,0.7004666666666667,2023-05-25,SDP,37.3469387755102,32.51020408163265,3.9183673469387754,7.244897959183674,3.7142857142857144,4.142857142857143,8.857142857142858,0.22640816326530613,0.3096122448979592,0.39134693877551024,0.7009795918367346
37.9,32.766666666666666,4.233333333333333,7.333333333333333,4.033333333333333,4.533333333333333,8.966666666666667,0.22576666666666664,0.3133,0.3874666666666666,0.7008666666666667,2023-05-26,SDP,37.46,32.56,4.0,7.28,3.8,4.2,8.86,0.22636000000000003,0.30974,0.39126000000000005,0.7010200000000001
38.03333333333333,32.8,4.166666666666667,7.4,3.966666666666667,4.533333333333333,9.0,0.2258333333333333,0.3136333333333334,0.3875,0.7012666666666667,2023-05-27,SDP,37.549019607843135,32.6078431372549,4.019607843137255,7.313725490196078,3.823529411764706,4.196078431372549,8.882352941176471,0.2263137254901961,0.3098823529411765,0.3911960784313726,0.7011176470588236
38.333333333333336,32.93333333333333,4.233333333333333,7.433333333333334,4.033333333333333,4.7,8.833333333333334,0.2260333333333334,0.3142,0.38776666666666665,0.7021000000000001,2023-05-28,SDP,37.55769230769231,32.61538461538461,3.980769230769231,7.230769230769231,3.7884615384615383,4.211538461538462,8.865384615384615,0.22623076923076926,0.3099807692307692,0.3910576923076924,0.7010769230769232
38.3,32.86666666666667,4.3,7.4,4.066666666666666,4.666666666666667,8.866666666666667,0.22623333333333334,0.31473333333333325,0.38816666666666666,0.703,2023-05-30,SDP,37.54716981132076,32.56603773584906,4.037735849056604,7.188679245283019,3.830188679245283,4.226415094339623,8.924528301886792,0.22613207547169814,0.3100754716981132,0.3909433962264152,0.7010377358490566
